Category: All categories

Week,Job: (South Africa)
2015-01-04,91
2015-01-11,92
2015-01-18,88
2015-01-25,83
2015-02-01,84
2015-02-08,77
2015-02-15,82
2015-02-22,74
2015-03-01,79
2015-03-08,74
2015-03-15,75
2015-03-22,67
2015-03-29,63
2015-04-05,71
2015-04-12,72
2015-04-19,70
2015-04-26,64
2015-05-03,71
2015-05-10,72
2015-05-17,78
2015-05-24,66
2015-05-31,68
2015-06-07,68
2015-06-14,62
2015-06-21,69
2015-06-28,67
2015-07-05,79
2015-07-12,75
2015-07-19,77
2015-07-26,75
2015-08-02,73
2015-08-09,74
2015-08-16,81
2015-08-23,72
2015-08-30,77
2015-09-06,72
2015-09-13,71
2015-09-20,65
2015-09-27,67
2015-10-04,70
2015-10-11,70
2015-10-18,71
2015-10-25,67
2015-11-01,69
2015-11-08,70
2015-11-15,66
2015-11-22,60
2015-11-29,58
2015-12-06,59
2015-12-13,52
2015-12-20,46
2015-12-27,58
2016-01-03,94
2016-01-10,94
2016-01-17,100
2016-01-24,93
2016-01-31,98
2016-02-07,85
2016-02-14,84
2016-02-21,75
2016-02-28,90
2016-03-06,88
2016-03-13,86
2016-03-20,69
2016-03-27,74
2016-04-03,85
2016-04-10,80
2016-04-17,79
2016-04-24,73
2016-05-01,74
2016-05-08,83
2016-05-15,72
2016-05-22,74
2016-05-29,81
2016-06-05,81
2016-06-12,76
2016-06-19,73
2016-06-26,71
2016-07-03,73
2016-07-10,74
2016-07-17,74
2016-07-24,72
2016-07-31,72
2016-08-07,74
2016-08-14,70
2016-08-21,72
2016-08-28,77
2016-09-04,79
2016-09-11,72
2016-09-18,70
2016-09-25,68
2016-10-02,71
2016-10-09,69
2016-10-16,68
2016-10-23,66
2016-10-30,69
2016-11-06,77
2016-11-13,70
2016-11-20,63
2016-11-27,60
2016-12-04,57
2016-12-11,50
2016-12-18,45
2016-12-25,46
2017-01-01,77
2017-01-08,95
2017-01-15,88
2017-01-22,85
2017-01-29,81
2017-02-05,80
2017-02-12,81
2017-02-19,70
2017-02-26,71
2017-03-05,72
2017-03-12,81
2017-03-19,66
2017-03-26,66
2017-04-02,61
2017-04-09,59
2017-04-16,63
2017-04-23,60
2017-04-30,71
2017-05-07,70
2017-05-14,68
2017-05-21,63
2017-05-28,63
2017-06-04,61
2017-06-11,58
2017-06-18,60
2017-06-25,58
2017-07-02,63
2017-07-09,61
2017-07-16,60
2017-07-23,58
2017-07-30,60
2017-08-06,58
2017-08-13,61
2017-08-20,63
2017-08-27,59
2017-09-03,64
2017-09-10,62
2017-09-17,59
2017-09-24,54
2017-10-01,58
2017-10-08,55
2017-10-15,57
2017-10-22,55
2017-10-29,55
2017-11-05,56
2017-11-12,53
2017-11-19,46
2017-11-26,50
2017-12-03,47
2017-12-10,43
2017-12-17,36
2017-12-24,36
2017-12-31,55
2018-01-07,71
2018-01-14,72
2018-01-21,66
2018-01-28,63
2018-02-04,64
2018-02-11,59
2018-02-18,62
2018-02-25,64
2018-03-04,62
2018-03-11,63
2018-03-18,58
2018-03-25,49
2018-04-01,53
2018-04-08,57
2018-04-15,55
2018-04-22,50
2018-04-29,50
2018-05-06,61
2018-05-13,52
2018-05-20,53
2018-05-27,47
2018-06-03,53
2018-06-10,51
2018-06-17,50
2018-06-24,44
2018-07-01,48
2018-07-08,46
2018-07-15,49
2018-07-22,47
2018-07-29,51
2018-08-05,46
2018-08-12,51
2018-08-19,49
2018-08-26,51
2018-09-02,49
2018-09-09,53
2018-09-16,47
2018-09-23,43
2018-09-30,47
2018-10-07,49
2018-10-14,47
2018-10-21,43
2018-10-28,42
2018-11-04,42
2018-11-11,45
2018-11-18,40
2018-11-25,39
2018-12-02,41
2018-12-09,37
2018-12-16,30
2018-12-23,27
2018-12-30,42
2019-01-06,61
2019-01-13,57
2019-01-20,56
2019-01-27,52
2019-02-03,54
2019-02-10,48
2019-02-17,55
2019-02-24,51
2019-03-03,52
2019-03-10,49
2019-03-17,44
2019-03-24,45
2019-03-31,45
2019-04-07,44
2019-04-14,38
2019-04-21,39
2019-04-28,37
2019-05-05,38
2019-05-12,46
2019-05-19,44
2019-05-26,40
2019-06-02,48
2019-06-09,43
2019-06-16,39
2019-06-23,40
2019-06-30,39
2019-07-07,45
2019-07-14,42
2019-07-21,42
2019-07-28,43
2019-08-04,44
2019-08-11,43
2019-08-18,43
2019-08-25,44
2019-09-01,44
2019-09-08,49
2019-09-15,45
2019-09-22,36
2019-09-29,40
2019-10-06,42
2019-10-13,39
2019-10-20,38
2019-10-27,34
2019-11-03,38
2019-11-10,36
2019-11-17,37
2019-11-24,31
2019-12-01,31
2019-12-08,27
2019-12-15,25
2019-12-22,22
2019-12-29,31
