Category: All categories

Week,Jobs: (South Africa)
2015-01-04,90
2015-01-11,85
2015-01-18,86
2015-01-25,81
2015-02-01,75
2015-02-08,73
2015-02-15,74
2015-02-22,69
2015-03-01,72
2015-03-08,71
2015-03-15,69
2015-03-22,63
2015-03-29,49
2015-04-05,62
2015-04-12,65
2015-04-19,63
2015-04-26,53
2015-05-03,69
2015-05-10,66
2015-05-17,66
2015-05-24,59
2015-05-31,63
2015-06-07,65
2015-06-14,59
2015-06-21,60
2015-06-28,60
2015-07-05,70
2015-07-12,64
2015-07-19,68
2015-07-26,65
2015-08-02,68
2015-08-09,64
2015-08-16,66
2015-08-23,64
2015-08-30,65
2015-09-06,66
2015-09-13,62
2015-09-20,51
2015-09-27,58
2015-10-04,64
2015-10-11,69
2015-10-18,63
2015-10-25,59
2015-11-01,67
2015-11-08,66
2015-11-15,62
2015-11-22,54
2015-11-29,54
2015-12-06,50
2015-12-13,42
2015-12-20,41
2015-12-27,50
2016-01-03,92
2016-01-10,95
2016-01-17,100
2016-01-24,87
2016-01-31,87
2016-02-07,82
2016-02-14,77
2016-02-21,76
2016-02-28,74
2016-03-06,74
2016-03-13,72
2016-03-20,57
2016-03-27,66
2016-04-03,71
2016-04-10,75
2016-04-17,67
2016-04-24,62
2016-05-01,72
2016-05-08,74
2016-05-15,71
2016-05-22,67
2016-05-29,71
2016-06-05,71
2016-06-12,69
2016-06-19,68
2016-06-26,67
2016-07-03,66
2016-07-10,68
2016-07-17,69
2016-07-24,63
2016-07-31,58
2016-08-07,62
2016-08-14,67
2016-08-21,60
2016-08-28,62
2016-09-04,67
2016-09-11,65
2016-09-18,63
2016-09-25,58
2016-10-02,65
2016-10-09,59
2016-10-16,65
2016-10-23,61
2016-10-30,62
2016-11-06,62
2016-11-13,62
2016-11-20,58
2016-11-27,54
2016-12-04,53
2016-12-11,44
2016-12-18,40
2016-12-25,43
2017-01-01,75
2017-01-08,95
2017-01-15,88
2017-01-22,83
2017-01-29,81
2017-02-05,80
2017-02-12,76
2017-02-19,68
2017-02-26,70
2017-03-05,72
2017-03-12,67
2017-03-19,62
2017-03-26,66
2017-04-02,62
2017-04-09,53
2017-04-16,60
2017-04-23,51
2017-04-30,63
2017-05-07,64
2017-05-14,59
2017-05-21,57
2017-05-28,57
2017-06-04,61
2017-06-11,56
2017-06-18,65
2017-06-25,55
2017-07-02,58
2017-07-09,59
2017-07-16,58
2017-07-23,56
2017-07-30,55
2017-08-06,55
2017-08-13,55
2017-08-20,52
2017-08-27,48
2017-09-03,55
2017-09-10,55
2017-09-17,48
2017-09-24,45
2017-10-01,51
2017-10-08,53
2017-10-15,52
2017-10-22,50
2017-10-29,50
2017-11-05,54
2017-11-12,50
2017-11-19,38
2017-11-26,41
2017-12-03,42
2017-12-10,39
2017-12-17,33
2017-12-24,37
2017-12-31,61
2018-01-07,79
2018-01-14,74
2018-01-21,70
2018-01-28,68
2018-02-04,66
2018-02-11,60
2018-02-18,61
2018-02-25,60
2018-03-04,64
2018-03-11,59
2018-03-18,56
2018-03-25,45
2018-04-01,56
2018-04-08,56
2018-04-15,56
2018-04-22,45
2018-04-29,49
2018-05-06,55
2018-05-13,55
2018-05-20,50
2018-05-27,50
2018-06-03,55
2018-06-10,54
2018-06-17,51
2018-06-24,46
2018-07-01,48
2018-07-08,52
2018-07-15,53
2018-07-22,50
2018-07-29,47
2018-08-05,47
2018-08-12,52
2018-08-19,48
2018-08-26,47
2018-09-02,51
2018-09-09,52
2018-09-16,46
2018-09-23,41
2018-09-30,46
2018-10-07,50
2018-10-14,48
2018-10-21,41
2018-10-28,40
2018-11-04,48
2018-11-11,48
2018-11-18,44
2018-11-25,39
2018-12-02,42
2018-12-09,37
2018-12-16,30
2018-12-23,31
2018-12-30,48
2019-01-06,73
2019-01-13,66
2019-01-20,64
2019-01-27,57
2019-02-03,60
2019-02-10,52
2019-02-17,59
2019-02-24,51
2019-03-03,55
2019-03-10,50
2019-03-17,45
2019-03-24,51
2019-03-31,53
2019-04-07,50
2019-04-14,38
2019-04-21,39
2019-04-28,43
2019-05-05,43
2019-05-12,49
2019-05-19,46
2019-05-26,45
2019-06-02,48
2019-06-09,52
2019-06-16,45
2019-06-23,43
2019-06-30,46
2019-07-07,50
2019-07-14,46
2019-07-21,46
2019-07-28,45
2019-08-04,43
2019-08-11,48
2019-08-18,44
2019-08-25,41
2019-09-01,42
2019-09-08,43
2019-09-15,38
2019-09-22,35
2019-09-29,43
2019-10-06,47
2019-10-13,43
2019-10-20,41
2019-10-27,40
2019-11-03,43
2019-11-10,43
2019-11-17,42
2019-11-24,32
2019-12-01,33
2019-12-08,29
2019-12-15,27
2019-12-22,27
2019-12-29,39
