Category: All categories

Week,Vacancies: (South Africa)
2015-01-04,95
2015-01-11,91
2015-01-18,87
2015-01-25,87
2015-02-01,91
2015-02-08,82
2015-02-15,83
2015-02-22,75
2015-03-01,72
2015-03-08,72
2015-03-15,78
2015-03-22,75
2015-03-29,63
2015-04-05,72
2015-04-12,72
2015-04-19,80
2015-04-26,64
2015-05-03,76
2015-05-10,90
2015-05-17,82
2015-05-24,80
2015-05-31,78
2015-06-07,89
2015-06-14,77
2015-06-21,75
2015-06-28,70
2015-07-05,74
2015-07-12,72
2015-07-19,76
2015-07-26,69
2015-08-02,80
2015-08-09,75
2015-08-16,76
2015-08-23,72
2015-08-30,70
2015-09-06,74
2015-09-13,73
2015-09-20,65
2015-09-27,70
2015-10-04,74
2015-10-11,74
2015-10-18,70
2015-10-25,69
2015-11-01,74
2015-11-08,79
2015-11-15,67
2015-11-22,60
2015-11-29,62
2015-12-06,61
2015-12-13,48
2015-12-20,38
2015-12-27,40
2016-01-03,79
2016-01-10,85
2016-01-17,95
2016-01-24,92
2016-01-31,94
2016-02-07,86
2016-02-14,80
2016-02-21,86
2016-02-28,86
2016-03-06,83
2016-03-13,77
2016-03-20,58
2016-03-27,69
2016-04-03,72
2016-04-10,75
2016-04-17,73
2016-04-24,67
2016-05-01,72
2016-05-08,70
2016-05-15,84
2016-05-22,71
2016-05-29,67
2016-06-05,77
2016-06-12,68
2016-06-19,81
2016-06-26,72
2016-07-03,76
2016-07-10,66
2016-07-17,74
2016-07-24,68
2016-07-31,65
2016-08-07,75
2016-08-14,75
2016-08-21,66
2016-08-28,63
2016-09-04,73
2016-09-11,70
2016-09-18,70
2016-09-25,71
2016-10-02,70
2016-10-09,67
2016-10-16,75
2016-10-23,69
2016-10-30,66
2016-11-06,69
2016-11-13,72
2016-11-20,63
2016-11-27,58
2016-12-04,63
2016-12-11,51
2016-12-18,45
2016-12-25,42
2017-01-01,74
2017-01-08,100
2017-01-15,87
2017-01-22,88
2017-01-29,77
2017-02-05,85
2017-02-12,82
2017-02-19,76
2017-02-26,70
2017-03-05,76
2017-03-12,77
2017-03-19,70
2017-03-26,70
2017-04-02,69
2017-04-09,62
2017-04-16,70
2017-04-23,64
2017-04-30,74
2017-05-07,62
2017-05-14,70
2017-05-21,72
2017-05-28,69
2017-06-04,69
2017-06-11,66
2017-06-18,71
2017-06-25,64
2017-07-02,67
2017-07-09,68
2017-07-16,66
2017-07-23,63
2017-07-30,64
2017-08-06,58
2017-08-13,68
2017-08-20,65
2017-08-27,60
2017-09-03,65
2017-09-10,65
2017-09-17,66
2017-09-24,58
2017-10-01,68
2017-10-08,68
2017-10-15,71
2017-10-22,70
2017-10-29,63
2017-11-05,66
2017-11-12,67
2017-11-19,56
2017-11-26,55
2017-12-03,54
2017-12-10,51
2017-12-17,39
2017-12-24,34
2017-12-31,64
2018-01-07,84
2018-01-14,78
2018-01-21,79
2018-01-28,76
2018-02-04,80
2018-02-11,69
2018-02-18,68
2018-02-25,79
2018-03-04,72
2018-03-11,75
2018-03-18,72
2018-03-25,57
2018-04-01,66
2018-04-08,73
2018-04-15,71
2018-04-22,60
2018-04-29,74
2018-05-06,71
2018-05-13,66
2018-05-20,66
2018-05-27,64
2018-06-03,67
2018-06-10,68
2018-06-17,63
2018-06-24,60
2018-07-01,60
2018-07-08,65
2018-07-15,56
2018-07-22,60
2018-07-29,63
2018-08-05,55
2018-08-12,63
2018-08-19,58
2018-08-26,61
2018-09-02,60
2018-09-09,65
2018-09-16,59
2018-09-23,52
2018-09-30,64
2018-10-07,61
2018-10-14,61
2018-10-21,56
2018-10-28,57
2018-11-04,61
2018-11-11,57
2018-11-18,53
2018-11-25,47
2018-12-02,48
2018-12-09,48
2018-12-16,35
2018-12-23,31
2018-12-30,50
2019-01-06,74
2019-01-13,77
2019-01-20,79
2019-01-27,64
2019-02-03,77
2019-02-10,63
2019-02-17,65
2019-02-24,65
2019-03-03,62
2019-03-10,63
2019-03-17,56
2019-03-24,60
2019-03-31,61
2019-04-07,65
2019-04-14,51
2019-04-21,53
2019-04-28,56
2019-05-05,57
2019-05-12,58
2019-05-19,57
2019-05-26,53
2019-06-02,66
2019-06-09,64
2019-06-16,54
2019-06-23,55
2019-06-30,55
2019-07-07,66
2019-07-14,66
2019-07-21,56
2019-07-28,57
2019-08-04,52
2019-08-11,59
2019-08-18,56
2019-08-25,58
2019-09-01,54
2019-09-08,58
2019-09-15,57
2019-09-22,49
2019-09-29,57
2019-10-06,61
2019-10-13,59
2019-10-20,54
2019-10-27,49
2019-11-03,55
2019-11-10,60
2019-11-17,52
2019-11-24,44
2019-12-01,45
2019-12-08,40
2019-12-15,33
2019-12-22,27
2019-12-29,43
